[Log] Move down: Extra score - 575.2 Avg number of moves 47.4 (ai.js, line 39)
[Log] Move up: Extra score - 498.4 Avg number of moves 39.2 (ai.js, line 39)
[Log] Move left: Extra score - 388.8 Avg number of moves 35.2 (ai.js, line 39)
[Log] Move up: Extra score - 927.2 Avg number of moves 67 (ai.js, line 39)
[Log] Move right: Extra score - 211.2 Avg number of moves 29.2 (ai.js, line 39)
[Log] Move up: Extra score - 421.6 Avg number of moves 32.2 (ai.js, line 39)
[Log] Move left: Extra score - 215.2 Avg number of moves 24.8 (ai.js, line 39)
[Log] Move down: Extra score - 281.6 Avg number of moves 29.2 (ai.js, line 39)
[Log] Move down: Extra score - 374.4 Avg number of moves 34.2 (ai.js, line 39)
[Log] Move left: Extra score - 244.8 Avg number of moves 22.8 (ai.js, line 39)
[Log] Move right: Extra score - 767.2 Avg number of moves 54.2 (ai.js, line 39)
[Log] Move down: Extra score - 683.2 Avg number of moves 46.4 (ai.js, line 39)
[Log] Move left: Extra score - 595.2 Avg number of moves 42.2 (ai.js, line 39)
[Log] Move down: Extra score - 768.8 Avg number of moves 56.4 (ai.js, line 39)
[Log] Move down: Extra score - 745.6 Avg number of moves 54 (ai.js, line 39)
[Log] Move left: Extra score - 562.4 Avg number of moves 46.2 (ai.js, line 39)
[Log] Move up: Extra score - 515.2 Avg number of moves 39.4 (ai.js, line 39)
[Log] Move down: Extra score - 505.6 Avg number of moves 42.2 (ai.js, line 39)
[Log] Move left: Extra score - 377.6 Avg number of moves 31.2 (ai.js, line 39)
[Log] Move down: Extra score - 461.6 Avg number of moves 37 (ai.js, line 39)
[Log] Move up: Extra score - 216.8 Avg number of moves 22.4 (ai.js, line 39)
[Log] Move right: Extra score - 294.4 Avg number of moves 26.4 (ai.js, line 39)
[Log] Move down: Extra score - 332.8 Avg number of moves 31.4 (ai.js, line 39)
[Log] Move right: Extra score - 316 Avg number of moves 23.8 (ai.js, line 39)
[Log] Move up: Extra score - 537.6 Avg number of moves 45.6 (ai.js, line 39)
[Log] Move up: Extra score - 760 Avg number of moves 49.6 (ai.js, line 39)
[Log] Move up: Extra score - 745.6 Avg number of moves 53.8 (ai.js, line 39)
[Log] Move right: Extra score - 868.8 Avg number of moves 49.6 (ai.js, line 39)
[Log] Move left: Extra score - 867.2 Avg number of moves 50.2 (ai.js, line 39)
[Log] Move right: Extra score - 967.2 Avg number of moves 62.4 (ai.js, line 39)
[Log] Move down: Extra score - 948 Avg number of moves 57.4 (ai.js, line 39)
[Log] Move down: Extra score - 864.8 Avg number of moves 63.4 (ai.js, line 39)
[Log] Move left: Extra score - 1356.8 Avg number of moves 88.8 (ai.js, line 39)
[Log] Move down: Extra score - 584.8 Avg number of moves 61.6 (ai.js, line 39)
